ID,lexeme,parse,root,lexical category,topic,Level,English,ex sh1,ex se1,ex sh2,ex se2,ex sh3,ex se3,ex sh4,ex se4,ex sh5,ex se5,ex sh6,ex se6,ex sh7,ex se7,ex sh8,ex se8,ex sh9,ex se9,ex sh10,ex se10,ex sh11,ex es11,ex sh12,ex se12,
12,yutsakwula’lh ,yu-√tsala’lh-PROG,√tsala’lh,V,ACT,NA,borrowing,yutsakwula'lh ts'u 'u kws hwuypelu.,He is borrowing the wheelbarrow. (RP 5FEB80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,tsala’lht ,√tsala’lh-t,√tsala’lh,V,ACT,NA,lend him/her,tsala'lht lhu 'u lhun' kumpoots.,Lend him/her your hip waders. (RP 5FEB80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,tsala’lhthamu ,√tsala’lh-t-samu,√tsala’lh,V,ACT,NA,lend you,tsala'lhthamu tsun tse' 'u kws 'upanus.,I will lend you ten dollars. (RP 5FEB80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,tsala’lhtham’sh ,√tsala’lh-t-sam’sh,√tsala’lh,V,ACT,NA,lend me,i tsun 'uw' statul'stuhw kwun's ni' tse' tsala'lhtham'sh 'u kws 'upanus.,I know you are going to lend me ten dollars. (RP 80S),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,tsala’lhth ,√tsala’lh-t-sam’sh,√tsala’lh,V,ACT,NA,lend me,tsala'lhth ch tse' 'u lhun' swetu.,Lend me your sweater. (RP 5FEB80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,tsa’luqw ,√tsa’luqw,√tsa’luqw,N,NAT,C,upward slope (of the mountains),qux spaal' ni' 'u tthu tsa'luqw 'utl' ts'uw'xilum smeent.,There are alot of ravens at Mt. Tzouhalem. (RP 2MAR82),ni' ts'u 'uw' hith kwsus nelu' 'u tthey' tsa'luqw.,It is said that they were up in those mountains for a long time. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,tsul’tsa’luqw ,√tsa’luqw-PL,√tsa’luqw,N,NAT,C,up in the mountains PL,kwuyul ts'u yelh sm'is tl'upqenum kwthu ni' tsul'tsa'luqw 'u thu smeent.,The ones that went up the mountain are going to come down tomorrow. (RP FEB82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,tun’tsa’luqw ,tun’-√tsa’luqw,√tsa’luqw,N,NAT,C,southwest wind,ii ts'u tun'tsa'luqw kwsun'a spuhels.,Is it the southwest wind that is blowing? (RP MAR82),ii tun'tsa'luqw kwsun'a stsuhwum.,Is the wind blowing from the southwest? (RP 80B),tun'tsa'luqw lhu spuhels 'u kw'un'a tsul'equlh.,The wind yesterday was southwest. (RP 80BB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,tsam ,√tsam,√tsam,V,MOT,C,"uphill: go up (from water), go up hill",tsam 'u tthu smeent. go up the hill.,go up the hill. (RP 23675),yutth'etth'ukw'ul' tse' 'i' nem' tsun tsam.,I will go up into the hills at dawn. (Lessons),nem' tsam 'u tu'inulh smeent suw' ts'a-a'lutss 'i' 'uwu te' ts'u.,He went up one mountain and over it to the other side and there wasn’t anything to be seen. (WS Eagle Story),nem' tst tse' tl'e' wulh qul'et tsam.,We are going to go up the mountain again. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,yutsakwum ,yu-√tsam-PROG,√tsam,V,MOT,C,"uphill: going up from shore, uphill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,tsumstuhw ,√tsam-stuhw,√tsam,V,MOT,C,"uphill: take away from water, bring uphill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,shtsa’nus ,shhw-√tsa’nus,√tsa’nus,N,PN,C,Deception Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,shcha’nus ,shhw-√tsa’nus,√tsa’nus,N,PN,C,Deception Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,tsahwut ,√tsahw-t,√tsahw,V,ACT,NA,"artificial respiration, or blow into someone, hands cupped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,stsutsa’ ,s-√tsa’-STA,√tsa’,V,STP,C,pulled apart (in layers),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,stsi’tsutsa’ ,s-√tsa’-DIM-STA,√tsa’,V,STP,C,pulled apart (small portion partially pulled apart) DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,stsuli’tsutsa’ ,s-√tsa’-STA-DIM-PL,√tsa’,V,STP,C,pulled apart DIM PL (small portions partially pulled apart),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29,tsa’t ,√tsa’-t,√tsa’,V,STP,C,"pull off a layer or covering; split wood out of a living tree, pull off cedar bark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,tsi’tsutsa’t ,√tsa’-t-DIM-PROG,√tsa’,V,STP,C,pulling off a layer or covering DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,tsa’els ,√tsa’-els,√tsa’,V,STP,C,pull off a layer; cut slabs from wood (if it does not split),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,tsutsal’s ,√tsa’-els-PROG,√tsa’,V,STP,C,pulling off a layer; cutting slabs from wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,tsi’tsutsul’s ,√tsa’-els-DIM-PROG,√tsa’,V,STP,C,pulling off a layer; cutting slabs from wood DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,stsa’kwum ,s-√tsa’kw-m,√tsa’kw,N,SEA,C,smelt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,stsa’tx ,s-√tsa’tx,√tsa’tx,N,SEA,C,halibut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,tsetsul’ulhtun ,√tseelhtun-PROG,√tseelhtun,V,FH,C,fishing (verb),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,stseelhtun ,s-√tseelhtun,√tseelhtun,N,SEA,A,fish (salmon),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,stseelhtun ,s-√tseelhtun,√tseelhtun,N,SEA,A,salmon,tl'lim' ts'u ni' st'e 'u kw' stseelhtun kwsus wulh huye' shte-e-em.,Then he was like a fish when he swam. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
39,tsetsul’ulhtun’ ,√tseelhtun-PROG,√tseelhtun,V,FH,C,fishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40,tseep ,√tseep,√tseep,N,NA,A,"you PL, a subject particle","suw' tssenums tthuw'nilh swiw'lus,   “yuqwt tseep kwu'elh.""","The young man told them, “You people must burn it.” (WS Eagle Story)",huy tseep q'u kwu ni' 'un's'amustham'shulup tsas tsun.,"Thank you indeed for what you have given me, your humble one. (WS Eagle Story)","suw' qwals tthuw'nilh swiw'lus, “'uwu tseep qwil'qwul'ulup kwunus 'i hun'umut.”","The young man says to them, “Do not tell that I am home.” (WS Eagle Story)",nem' tsun taantalu 'uw' 'i tseep 'ul' 'u tun'u.,"I am leaving you all now, and you must all stay here. (WS Eagle Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,stsekwul’ ,s-√tsekwul’,√tsekwul’,NA,FUN,C,how,i ch kwu'elh hwi' yustsekwul' 'un'sh'i huli.,How is it that you are alive? (WS Eagle Story),...'uwu-te' shtatul'stuhw 'uw' stsekwul'us tse' kwun's kwunnuhw.,...we don’t know how we’re going to get him. (WS Seal Story),a-a me' ni' kwu'elh stsekwul' kwuni' unshqwaluwun 'u tthey' ni' un'sqwal.,"Oh my father, what are you thinking about that made you say that? (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,stsekwul’ ,s-√tsekwul’,√tsekwul’,N,NA,C,kinds/manner,mukw' stsekwul' 'u thu sqw'uqw'ul'ush nuw' yuq'aq'uy'utus ni' sts'itth'ums.,It was all different kinds of birds he killed and made himself a costume. (CA Stone Story),ni' ts'u mukw' stsekwul' thqet tushnetsulhp qwa'upulhp 'i' ni' 'uw' yuhul'kw 'al'.,"These were all kinds of trees: saskatoon bush, crabapple, and they just broke. (CA skwathshun')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
43,stsekwul’stuhw ,s-√tsekwul’-stuhw,√tsekwul’,NA,NA,C,how much: get how much,yustsekwul' ch.,How much do you want for it? (CW JUL91),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
44,tsukwul’im’ ,√tsekwul’-m-STA,√tsekwul’,NA,NA,C,in what way,statul'sthwus 'uw' niis tsukwul'im'.,He/they knew in what way. (BA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
45,tselt ,√tsel-t,√tsel,V,MOT,C,follow it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,tseltham’sh ,√tsel-t-sam’sh,√tsel,V,MOT,C,follow me (xx) m'i tseltham'sh,m'i tseltham'sh.,come follow me. (RP 18675),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47,tsukwul’etum’ ,√tsel-t-m-DUR,√tsel,V,MOT,C,following PASS,tsukwul'etum' 'u tthey' ni' sq'a'sulh 'uwu kws ni's kwe'tum.,"His companions didn’t leave, they kept following him. (WS Eagle Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,hwtsel ,hw-√tsel,√tsel,V,MOT,C,where: go where,hwtsel ch 'a'lu.,Where are you going? (Lessons),ni' hwtsel lhun' ten.,Where did your mother go? (RP MAR80),i' 'uwu te' ts'u ni' shtatul'stuhws tthuw'nilh 'uw' niis hwtsel kwsus qwsutum.,And he wasn’t aware of the place where they brought him into the water. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,hwtsustuhw ,hw-√tsel-stuhw,√tsel,V,NA,C,put where,ni' ch hwtsustuhw lhu stsiy'u.,Where did you put the strawberries? (RP 15DEC75),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
50,hwtsuthut ,hw-√tsel-that,√tsel,V,MOT,C,"go where, go which way",hwtsuthut ch.,Which way are you going? (CA t'ut'um'),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,hwtsi’tsakwul’thut ,hw-√tsel-that-PROG,√tsel,V,MOT,C,"going where, going which way",i ch 'a'lu hwtsakwul'thut.,Which way are you going? (CW JUL91),hwtsakwul'thut tseep 'a'lu.,Which way are you-people going? (CW JUL91),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,tselqum ,√tsel-qen-m,√tsel,V,MOT,C,follow,suw' lhxilush tselqum tthuw'nilh swiw'lus ni' hwusq'uq'a' 'u tthey' 'eshw. ,The young man who was with the seals stood up to follow. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
53,tsukwul’ul’qum’ ,√tsel-qen-m-PROG,√tsel,V,MOT,C,following,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,yutsukwul’ul’qum’ ,yu-√tsel-qen-m-PROG,√tsel,V,MOT,C,following (along),ni-i-i' qwsuthut kwthu ni' shsq'uq'a's 'i' 'uw' yutsukwul'ul'qum' nuw' yusq'uq'a' kwsus qwsuthut.,The ones he is with went into the water and he followed; he went into the water along with them. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
55,tselush ,√tselush,√tselush,N,BP,A,hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
56,tsultselush ,√tselush-PL,√tselush,N,BP,B,hands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
57,tsetslush ,√tselush-DIM,√tselush,N,BP,B,hand DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
58,tsul’etslush ,√tselush-DIM-PL,√tselush,N,BP,B,hands DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
59,tse’lumun ,√tse’lu-min,√tse’lu,N,PL,C,"pole, sapling (wood)",suw' 'i-i-ixutus tthu tse'lumun tl'uw' yuqwtus suw' ts'uy'hw.,He scraped the fir pole and also burnt it until it got dry. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
60,tse’lumunew’thw ,√tse’lu-min-ew’thw,√tse’lu,N,PN,C,log house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
61,shtsepth ,shhw-√tsepth,√tsepth,N,KIN,C,"uncle, aunt through marriage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
62,shtse’tspth ,shhw-√tsepth-DIM,√tsepth,N,KIN,C,"uncle, aunt through marriage DIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
63,shtse’lupth ,shhw-√tsepth-PL,√tsepth,N,KIN,C,"uncles, aunts through marriage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
64,tsustuhw ,√tses-stuhw,√tses,V,NA,C,do what with,a-a-ashu nilh tse' kwu'elh nusuw' tsustuhw nan 'uw' tsakw kwthunu snuhwulh.,"Oh my, now what am I going to do? My canoe is too far away. (WS Seal Story)",uwu kwu'elh ni'us tsustuhwus tthuw'nilh sa'suqwt tthu shuyulhsulh.,The younger brother didn’t do anything about his (older) brother. (WS Seal Story),uwu ni'us tsusthwus.,He didn’t hurt them. (CA Stone Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
65,tsekwustuhw ,√tses-stuhw-PROG,√tses,V,NA,C,"doing what with it (for ex, what is he doing with it?)",i ch tsekwustuhw.,What are you doing with it? (CW JUL91),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
66,tsi’tsekwustuhw ,√tses-stuhw-PROG-DIM,√tses,V,NA,C,doing what with it DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
67,tsustam’sh ,√tses-stuhw-am’sh,√tses,V,NA,C,do what to me,tsustam'sh ch.,What are you going to do to me? (CA t'ut'um'),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
68,tsustewut ,√tses-stuhw-ewut,√tses,V,NA,C,do what to PASS,st'e 'uw' niis q'aytum 'uw' tsustewut 'u shni's taantum 'ul'.,It’s like he was left to die or whatever; that’s why he was left there. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
69,tstamut ,√tses-stamut,√tses,V,NA,C,"what happened, what is the matter",tstamut yuhw 'a'lu shxut'us 'u tthey' 'u kw'u kw'eykw'i',what’s the meaning of saying that to one who is hungry? (CA t'ut'um'),stu'e-e-e huw'qw' thuw'nilh q'e'mi' 'al'mutstus kwu sta'lusth xe'xtsitus 'uw' ni'us tstamut 'uw' niis 'uw' q'ay.,"Then she drifted around waiting for her husband, trying to figure out what happened and if her husband was dead. (WS Seal Story)",suw' putum'ute'wut thuw'nilh “ ni' ['a']lu tstamut.”,"Her people asked her, “What happened?” (RP Spring82.)",i 'a'lu tstamut tthun' sxun'u.,What is the matter with your leg? (MJ Spring82),tstamut 'a'lu un'sh'i xixup'she'num'.,Why are you scratching your foot? (WS Seal Story),tstamut ch 'a'lu” xut'ustum' ts'u.,What do you (want to) do? (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
70,tsukwsta’mut ,√tses-stamut-PROG,√tses,V,NA,C,doing what,i ch tsukwsta'mut.,What are you doing? (Lessons),i tsukwsta'mut kwthun' shuyulhulup 'u Mary?,"What is your (pl.) older brother doing, Mary? (Lessons)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
71,tsetsuw’ ,√tsew’-RDP,√tsew’,N,NAT,C,beach: down by a beach or river bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
72,tsuw’tsuw’ ,√tsew’-RDP,√tsew’,N,DES,C,"middle, out-in-the-middle",nilh kwu'elh shus tsuw'tsuw' tthu q'ise'q 'u tu'i xatsa' 'utl' kwa'mutsun.,This is why q'ise'q is way out in the middle of Quamichan Lake. (CA Stone Story),...ni' p'e' kwulushtus kwthu 'eshw sis 'uw' p'ukw kwthu 'eshw ni' 'u kwthu tsuw'tsuw'.,"...He killed/shot the seal, and it floated up above the water way far away. (WS Seal Story)",ni-i-i' 'u tnanulh tsuw'tsuw' wulh yuhunum' 'u tthu tuywut.,"This is way out in the middle of the water, they were already heading north. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
73,tsetsuw’ ,√tsew’-PROG,√tsew’,V,MOT,C,coming down,m'-i-i-i tsetsuw' tthu s'ul'eluhw suw' hwust'ut'i-i-in's tthu s'ul'eluhw 'u-u-umut.,"And the elders came down and sat side by side, sitting lined around. (WS Eagle Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
74,hwutsuw’tsuw’ ,hwu-√tsew’-RDP,√tsew’,V,NA,C,far out (come to be far out),ni' 'uw' hwutsuw'tsuw' 'i' ni' p'ukw.,It surfaced far out. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
75,tstseetsuw’ ,ts-√tsew’-RDP,√tsew’,V,MOT,C,"go to field or bay, waiting for game",yuse'lu kwthu shun'tsus tthun' mun'u kwsus tstseetsuw'.,Your son caught two deer when he stayed in one place in wait for them. (RP 80B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
76,hun’tsew ,hun’-√tsew’,√tsew’,V,MOT,C,"arrive from an upper level, arrive at the beach",nem' 'uw' hun'tsew 'al'.,They reached the bottom of the mountain. (CA skwathshun'),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
77,hun’tseluw ,hun’-√tsew’-PL,√tsew’,V,MOT,C,"arrive from an upper level (plural), arrive at the beach (plural)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
78,tsehw ,√tsehw,√tsehw,N,KIN,C,spouse,nan 'uw' 'uy' mustimuhw lhun' tsehw tiwun.,"Nephew, your wife is a wonderful person. (RP 80A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
79,tstsehwum ,ts-√tsehwum,√tsehwum,V,COM,C,propose marriage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
80,tstsetsuhwum’ ,ts-√tsehwum-PROG,√tsehwum,V,COM,C,proposing marriage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
81,tshwemut ,√tsehwum-t,√tsehwum,V,COM,C,propose (go and propose),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
82,stsey’ul’lh ,s-√tsey’ul’lh,√tsey’ul’lh,ADJ,SOC,C,"sequestered, brought up without exposure (young ladies)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
